Year,Month,ID,sex,Carapace width (lateral spines) (mm),Carapace length (mm),Carapace width (base) (mm),Maturity,Claw Height (mm),Abdomen width (mm),carapace_width_spines,chela_height,abdomen_width
2020,October,SIMILIS,M,125.57,56.11,95.87,NA,19.22,36.08,125.57,19.22,36.08
2020,October,SIMILIS,M,109.78,47.84,82.44,NA,14.48,31.03,109.78,14.48,31.03
2020,October,BOCOURTI,M,117.02,66.43,106.03,NA,22.43,38.58,117.02,22.43,38.58
2020,October,BOCOURTI,M,106.92,60.17,95.07,NA,19.46,35.43,106.92,19.46,35.43
2020,October,ORNATUS,M,106.74,46.43,80.36,NA,16.27,28.32,106.74,16.27,28.32
2021,October,ORNATUS,F,91.61,40.7,70.4,NA,14.62,30.76,91.61,14.62,30.76
2021,October,SIMILIS,F,88.3,39.8,68,NA,11.1,28,88.3,11.1,28
2021,October,BOCOURTI,F,94.4,48.9,79,NA,12.5,30.1,94.4,12.5,30.1
2021,October,BOCOURTI,F,100.38,50.48,81.59,NA,12.99,34.74,100.38,12.99,34.74
2020,October,SAPIDUS,F,114.4,53.96,90.54,NA,NA,37.74,114.4,NA,37.74
2021,October,BOCOURTI,F,105.06,54.49,88.02,NA,14.18,39.78,105.06,14.18,39.78
2020,October,ORNATUS,F,115.24,58.95,97.62,NA,19.6,41.44,115.24,19.6,41.44
2020,October,SAPIDUS,F,116.75,53.17,90.3,NA,14.85,38.08,116.75,14.85,38.08
2020,October,ORNATUS,F,100.15,51.11,84.6,NA,16.25,35.23,100.15,16.25,35.23
2020,October,ORNATUS,F,98.2,48.83,79.82,NA,13.19,33.18,98.2,13.19,33.18
2020,October,ORNATUS,F,125.8,65.93,106.32,NA,20.97,46.31,125.8,20.97,46.31
2020,October,ORNATUS,F,110.01,51.81,87.58,NA,16.46,34.86,110.01,16.46,34.86
2020,October,ORNATUS,F,95.01,49.04,79.16,NA,12.71,32.02,95.01,12.71,32.02
2020,October,SAPIDUS,F,125.56,59.1,103.45,NA,20.76,40.85,125.56,20.76,40.85
2020,October,SIMILIS,F,110.11,55.31,92.06,NA,19.36,37.72,110.11,19.36,37.72
2020,October,SIMILIS,F,115.22,52.35,93.63,NA,16.77,36.64,115.22,16.77,36.64
2020,October,SAPIDUS,F,130.41,61.89,103.83,NA,18.87,43.35,130.41,18.87,43.35
