Year,Month,ID,sex,Carapace width (lateral spines) (mm),Carapace length (mm),Carapace width (base) (mm),Maturity,Claw Height (mm),Abdomen width (mm),carapace_width_spines,chela_height,abdomen_width
2021,April,BOCOURTI,F,93.02,53.8,79.2,M,13.29,35.66,93.02,13.29,35.66
2021,April,BOCOURTI,F,94.25,51.44,83.18,M,17.7,32,94.25,17.7,32
2021,July,BOCOURTI,F,95.61,51.91,84.21,M,14.79,32.3,95.61,14.79,32.3
2021,July,BOCOURTI,F,111.12,54.46,90.05,M,16.67,31.14,111.12,16.67,31.14
2021,October,BOCOURTI,F,96.22,51.23,84.16,M,15.81,36.32,96.22,15.81,36.32
2021,April,BOCOURTI,F,99.31,61.36,87.6,M,16.65,38.77,99.31,16.65,38.77
2021,October,ORNATUS,F,94.69,43.02,75.2,M,41.47,32.33,94.69,41.47,32.33
2021,October,SIMILIS,F,95.66,43.45,74.51,M,12.61,32.85,95.66,12.61,32.85
2021,April,BOCOURTI,F,94.14,50.62,81.52,M,13.85,31.37,94.14,13.85,31.37
2021,October,BOCOURTI,F,87.2,49,78.2,M,12.2,37.3,87.2,12.2,37.3
2021,April,BOCOURTI,F,91.69,50.06,79.23,M,17.81,34.45,91.69,17.81,34.45
2021,October,BOCOURTI,F,97.4,49.5,81.8,M,12.4,33.4,97.4,12.4,33.4
2021,July,ORNATUS,F,100.37,52.4,85.73,M,15.26,38.91,100.37,15.26,38.91
2021,October,ORNATUS,F,105.6,57.2,88.6,M,15,41.5,105.6,15,41.5
2021,July,SAPIDUS,F,144.19,65.47,106.1,M,N/A,50.85,144.19,NA,50.85
2021,July,BOCOURTI,F,98.54,51.77,83.96,M,13.75,34.35,98.54,13.75,34.35
2021,July,BOCOURTI,F,90.06,48.82,80.01,M,17.76,26.69,90.06,17.76,26.69
2021,July,BOCOURTI,F,103.25,51.1,84.41,M,15.47,37.84,103.25,15.47,37.84
2021,July,BOCOURTI,F,92.2,49.79,80.95,M,14.44,36.61,92.2,14.44,36.61
2021,October,BOCOURTI,F,121.9,61.1,102,M,27.8,42,121.9,27.8,42
2021,April,BOCOURTI,F,106.11,54.75,92.39,M,17.36,36.99,106.11,17.36,36.99
2021,April,BOCOURTI,F,106.22,54.12,86.77,M,13.64,36.15,106.22,13.64,36.15
2021,October,ORNATUS,F,92.2,40,73.2,M,14.4,31.1,92.2,14.4,31.1
2021,October,ORNATUS,F,81.9,40.4,68.8,M,13.4,27.9,81.9,13.4,27.9
2021,January,SAPIDUS,F,130,65,105,M,23,43,130,23,43
2021,July,BOCOURTI,F,102.18,51.15,95.54,M,13.32,30.05,102.18,13.32,30.05
2021,January,SAPIDUS,F,118,59,98,M,16,45,118,16,45
2021,July,ORNATUS,F,101.12,55.6,87.79,M,16.65,31.16,101.12,16.65,31.16
2021,July,ORNATUS,F,121.13,61.17,100.06,M,17.75,34.48,121.13,17.75,34.48
2020,October,BOCOURTI,F,111,57,70,m,15.4,41,111,15.4,41
2020,October,BOCOURTI,F,117.58,58.29,96.6,m,x,41.52,117.58,NA,41.52
2020,October,SAPIDUS,F,107,49,59.22,m,16,37.5,107,16,37.5
2020,October,BOCOURTI,F,98.2,51,64,m,15,35,98.2,15,35
2020,October,SAPIDUS,F,134.17,60.76,79.61,m,19.4,44,134.17,19.4,44
2020,October,BOCOURTI,F,105,53,72,m,13,37,105,13,37
2020,October,BOCOURTI,F,98.79,50.04,67.1,m,15.2,36,98.79,15.2,36
2020,October,SAPIDUS,F,114,53,72.44,m,19.4,39.3,114,19.4,39.3
2020,October,ORNATUS,F,95.5,49.2,64,m,14,36.1,95.5,14,36.1
2021,April,BOCOURTI,F,93.52,49.97,81.49,M,14.38,31.78,93.52,14.38,31.78
2021,July,BOCOURTI,F,107.15,57.18,87.38,M,14.82,34.5,107.15,14.82,34.5
2021,July,BOCOURTI,F,112.43,57.27,94.63,M,18.97,42.75,112.43,18.97,42.75
2021,April,SAPIDUS,F,122.97,62.49,97.47,M,20.41,42.55,122.97,20.41,42.55
2021,January,SAPIDUS,F,115,55,95,M,15,38,115,15,38
2021,April,BOCOURTI,F,100.09,55.29,89.59,M,20.93,37.6,100.09,20.93,37.6
2020,October,SAPIDUS,F,117,61,76,m,21,41.2,117,21,41.2
2021,January,SAPIDUS,F,108,50,90,M,15,36,108,15,36
2021,January,SAPIDUS,F,119,55,96,M,15,40,119,15,40
2021,April,SAPIDUS,F,119.9,54.43,96.67,M,15.53,37.77,119.9,15.53,37.77
2021,January,BOCOURTI,F,100,58,90,M,22,36,100,22,36
2021,April,BOCOURTI,F,78.07,37.69,62.52,M,7.99,23.3,78.07,7.99,23.3
2020,October,BOCOURTI,F,103.78,50,69.34,m,13.2,36.49,103.78,13.2,36.49
2020,October,SAPIDUS,F,127,61,84.3,m,NA,44,127,NA,44
2021,January,SAPIDUS,F,114.64,52.07,91.35,M,15.85,38.79,114.64,15.85,38.79
2021,April,SIMILIS,F,89,53.35,76.87,M,13.65,34.32,89,13.65,34.32
2020,October,SAPIDUS,F,106,49.77,68,m,17,36,106,17,36
2020,October,BOCOURTI,F,89.2,48.2,60,m,15.2,32,89.2,15.2,32
2021,October,ORNATUS,F,101.06,45.94,79.98,M,15.12,33.99,101.06,15.12,33.99
2020,October,BOCOURTI,F,105,53,63,m,14.8,38,105,14.8,38
2021,October,BOCOURTI,F,91.41,48.15,80.09,M,14.35,33.43,91.41,14.35,33.43
2021,January,SAPIDUS,F,122.76,56.83,98.39,M,N/A,40.24,122.76,NA,40.24
2021,January,ORNATUS,F,98.91,46.4,78.49,M,16.11,33.98,98.91,16.11,33.98
2021,October,BOCOURTI,F,112.1,55.9,91.48,M,NA,41.38,112.1,NA,41.38
2020,October,SAPIDUS,F,116.43,53.28,93.18,m,15.22,37.98,116.43,15.22,37.98
2021,October,ORNATUS,F,109.8,56.6,91.1,M,13.2,36.5,109.8,13.2,36.5
2021,April,BOCOURTI,F,108.35,58.3,84.92,M,11.98,40.98,108.35,11.98,40.98
2021,July,BOCOURTI,F,103.09,54.27,89.57,M,17.93,37.66,103.09,17.93,37.66
2021,July,SIMILIS,F,95.4,46.63,80.01,M,15.58,34.42,95.4,15.58,34.42
2021,January,SAPIDUS,F,126,60,105,M,16,42,126,16,42
2021,July,BOCOURTI,F,109.84,54.3,89.8,M,14.43,39.95,109.84,14.43,39.95
2021,July,BOCOURTI,F,110.87,56.68,94.24,M,13.24,40.08,110.87,13.24,40.08
2021,April,BOCOURTI,F,107.47,57.85,86.94,M,12.98,40.42,107.47,12.98,40.42
2021,July,BOCOURTI,F,96.61,53.26,85.06,M,21.1,36.64,96.61,21.1,36.64
2021,January,BOCOURTI,F,78.94,49.49,74.41,M,15.54,34.39,78.94,15.54,34.39
2020,October,SAPIDUS,F,118.35,54.1,93.62,m,x,40.55,118.35,NA,40.55
2021,October,BOCOURTI,F,102.58,48.2,80.9,M,10.95,35.49,102.58,10.95,35.49
2021,October,BOCOURTI,F,106.11,55.3,86.5,M,14.3,37,106.11,14.3,37
2021,April,ORNATUS,F,107.52,55.84,88.72,M,13.6,37.06,107.52,13.6,37.06
