"Date","Station","Year_Month","ID","sex","weight (g)","Carapace width (base) (mm)","Carapace width (lateral spines) (mm)","Carapace length (mm)","Maturity","Ovigerous"
"1/20/21","AP","2021-01","SAPIDUS","F",96.24,98,118,59,"M",0
"7/14/21","DY","2021-07","ORNATUS","F",91.06,87.79,101.12,55.6,"M",0
"7/14/21","DY","2021-07","ORNATUS","F",134.25,100.06,121.13,61.17,"M",0
"10/20/20","AP","2020-10","BOCOURTI","F",84,70,111,57,"m",0
"10/21/20","DY","2020-10","BOCOURTI","F",90.11,96.6,117.58,58.29,"m",0
"10/20/20","IM","2020-10","SAPIDUS","F",71.2,59.22,107,49,"m",0
"10/20/20","AP","2020-10","BOCOURTI","F",71,64,98.2,51,"m",0
"10/20/20","AP","2020-10","SAPIDUS","F",132,79.61,134.17,60.76,"m",0
"10/20/20","AP","2020-10","BOCOURTI","F",73,72,105,53,"m",0
"10/20/20","AP","2020-10","BOCOURTI","F",71,67.1,98.79,50.04,"m",0
"10/20/20","AP","2020-10","SAPIDUS","F",86,72.44,114,53,"m",0
"4/21/21","AP","2021-04","SIMILIS","F",15.91,50.89,66.47,31.31,"IM",0
"4/20/21","AP","2021-04","SIMILIS","F",25.39,61.37,78.47,40.45,"IM",0
"10/20/20","AP","2020-10","ORNATUS","F",60.4,64,95.5,49.2,"m",0
"4/21/21","AP","2021-04","BOCOURTI","F",82.01,81.49,93.52,49.97,"M",0
"7/13/21","AP","2021-07","BOCOURTI","F",82.34,87.38,107.15,57.18,"M",0
"7/15/21","AP","2021-07","BOCOURTI","F",106.72,94.63,112.43,57.27,"M",0
"4/20/21","AP","2021-04","SAPIDUS","F",109.04,97.47,122.97,62.49,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",79.86,95,115,55,"M",0
"4/21/21","AP","2021-04","BOCOURTI","F",94.71,89.59,100.09,55.29,"M",0
"10/20/20","AP","2020-10","SAPIDUS","F",124,76,117,61,"m",0
"1/20/21","AP","2021-01","SAPIDUS","F",74.17,90,108,50,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",92.26,96,119,55,"M",0
"4/21/21","DY","2021-04","SAPIDUS","F",91.56,96.67,119.9,54.43,"M",0
"10/21/20","AP","2020-10","ORNATUS","F",151.02,107.54,132.57,63.11,"-",NA
"10/21/20","AP","2020-10","SAPIDUS","F",128.09,97.78,128.09,57.81,NA,0
"1/20/21","DY","2021-01","BOCOURTI","F",65.21,90,100,58,"M",0
"7/13/21","BC","2021-07","SIMILIS","F",19.81,54.42,70.08,32.86,"IM",0
"7/15/21","DY","2021-07","SAPIDUS","F",67.99,85.56,106.68,49.99,"IM",0
"7/15/21","IM","2021-07","SAPIDUS","F",12.61,61.1,72.24,35.53,"IM",0
"4/19/21","DY","2021-04","BOCOURTI","F",23.19,62.52,78.07,37.69,"M",0
"10/21/20","AP","2020-10","BOCOURTI","F",NA,56,NA,NA,"N/A",0
"10/21/20","DY","2020-10","SIMILIS","F",NA,NA,NA,NA,"N/A",0
"10/17/20","BC","2020-10","BOCOURTI","F",68.8,69.34,103.78,50,"m",0
"10/21/20","AP","2020-10","SAPIDUS","F",109.36,96.36,118.3,59.24,NA,0
"10/21/20","AP","2020-10","BOCOURTI","F",NA,56,NA,NA,"-",0
"10/21/20","DY","2020-10","SIMILIS","F",NA,NA,NA,NA,"-",0
"10/15/21","AP","2021-10","SIMILIS","F",NA,56.75,72.47,33.01,"IM",0
"10/15/21","DY","2021-10","BOCOURTI","F",82.28,89.57,107.54,54.84,NA,0
"10/20/20","AP","2020-10","SAPIDUS","F",109,84.3,127,61,"m",0
"10/21/20","DY","2020-10","SAPIDUS","F",109.47,97.64,119.27,56.25,"-",0
"1/19/21","AP","2021-01","SAPIDUS","F",83,91.35,114.64,52.07,"M",0
"4/20/21","AP","2021-04","SIMILIS","F",52.69,76.87,89,53.35,"M",0
"10/20/20","AP","2020-10","SAPIDUS","F",65,68,106,49.77,"m",0
"10/20/20","AP","2020-10","BOCOURTI","F",64,60,89.2,48.2,"m",0
"10/14/21","AP","2021-10","ORNATUS","F",60.87,79.98,101.06,45.94,"M",0
"10/20/20","AP","2020-10","BOCOURTI","F",80.3,63,105,53,"m",0
"10/13/21","BC","2021-10","BOCOURTI","F",68.07,80.09,91.41,48.15,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",77,98.39,122.76,56.83,"M",0
"1/19/21","BC","2021-01","ORNATUS","F",58.2,78.49,98.91,46.4,"M",0
"10/13/21","DY","2021-10","BOCOURTI","F",76.28,91.48,112.1,55.9,"M",0
"10/20/20","BC","2020-10","SAPIDUS","F",86.19,93.18,116.43,53.28,"m",0
"10/14/21","AP","2021-10","ORNATUS","F",80.1,91.1,109.8,56.6,"M",0
"4/20/21","BC","2021-04","BOCOURTI","F",67.2,84.92,108.35,58.3,"M",0
"7/13/21","AP","2021-07","BOCOURTI","F",108.53,89.57,103.09,54.27,"M",0
